29254,ABIDJAN-COTE,ZZ,ZZ
29262,ABU DHABI-EAU,ZZ,ZZ
29289,AMÃ-JORD,ZZ,ZZ
29297,ANCARA-TURQ,ZZ,ZZ
29319,ARTIGAS-URUG,ZZ,ZZ
29327,ASSUNÇÃO-PARG,ZZ,ZZ
29335,ATENAS-GREC,ZZ,ZZ
29343,BANGKOK-TAIL,ZZ,ZZ
29351,BARCELONA-ESPA,ZZ,ZZ
29360,BEIRUTE-LBAN,ZZ,ZZ
29378,BELGRADO-SERV,ZZ,ZZ
29386,BERLIM-RFA,ZZ,ZZ
29394,BISSAU-GUIB,ZZ,ZZ
29408,BOGOTÁ-COLO,ZZ,ZZ
29416,BOSTON-EUA,ZZ,ZZ
29432,BRUXELAS-BELG,ZZ,ZZ
29440,BUCARESTE-ROME,ZZ,ZZ
29459,BUDAPESTE-HUNG,ZZ,ZZ
29467,BUENOS AIRES-ARGT,ZZ,ZZ
29475,CAIENA-GUIF,ZZ,ZZ
29483,CAIRO-EGIT,ZZ,ZZ
29491,CAMBERRA-AUST,ZZ,ZZ
29505,CARACAS-VENE,ZZ,ZZ
29513,CHICAGO-EUA,ZZ,ZZ
29530,CIDADE DO CABO-RAFS,ZZ,ZZ
29548,CINGAPURA-CING,ZZ,ZZ
29556,CIUDAD DEL ESTE-PARG,ZZ,ZZ
29564,CIUDAD GUAYANA-VENE,ZZ,ZZ
29572,COCHABAMBA-BOLI,ZZ,ZZ
29580,CONCEPCIÓN-PARG,ZZ,ZZ
29599,COPENHAGUE-DINA,ZZ,ZZ
29602,CÓRDOBA-ARGT,ZZ,ZZ
29610,DACAR-SENE,ZZ,ZZ
29645,DILI-TIML,ZZ,ZZ
29653,DOHA-CATA,ZZ,ZZ
29661,DUBLIN-IRLS,ZZ,ZZ
29670,ENCARNACIÓN-PARG,ZZ,ZZ
29688,ESTOCOLMO-SUEC,ZZ,ZZ
29696,FRANKFURT-RFA,ZZ,ZZ
29700,GENEBRA-SUIC,ZZ,ZZ
29718,GEORGETOWN-GUIA,ZZ,ZZ
29726,GUATEMALA-GUAT,ZZ,ZZ
29742,HAMAMATSU-JAPA,ZZ,ZZ
29777,HAVANA-CUBA,ZZ,ZZ
